fyear,cik
1999,3570
2000,3570
2001,3570
2002,3570
2004,3570
2005,3570
2006,3570
2007,3570
2008,3570
2009,3570
2010,3570
2011,3570
2012,3570
2013,3570
2014,3570
2015,3570
2016,3570
2017,3570
2018,3570
2019,3570
2020,3570
2021,3570
1997,3662
1998,3662
1999,3662
1997,3721
1998,3721
1999,3721
2000,3721
2001,3721
2002,3721
2001,3753
2003,3753
2004,3753
1997,3952
1998,3952
1999,3952
2000,3952
2001,3952
2002,3952
2003,3952
2004,3952
2005,3952
2006,3952
2007,3952
2008,3952
2009,3952
2002,3959
2003,3959
2000,3982
2001,3982
2002,3982
2003,3982
2005,3982
2006,3982
2008,3982
2010,3982
1996,4127
2020,4127
2021,4127
2022,4127
1997,4164
1998,4164
2002,4164
2003,4164
2004,4164
2005,4164
1998,4187
1999,4187
2000,4187
2004,4187
2005,4187
2006,4187
2007,4187
2008,4187
2009,4187
2010,4187
2011,4187
2012,4187
2013,4187
2014,4187
2015,4187
2016,4187
2017,4187
2018,4187
2017,4281
2018,4281
2019,4281
2020,4281
2021,4281
1997,4285
1998,4285
1999,4285
2000,4285
2001,4285
2002,4285
2003,4285
2004,4285
2005,4285
1997,4310
1998,4310
1999,4310
2000,4310
1996,4317
1997,4317
1998,4317
1999,4317
2000,4317
2001,4317
2002,4317
2003,4317
2004,4317
2005,4317
1997,4447
1998,4447
1999,4447
2000,4447
2001,4447
2002,4447
2003,4447
2004,4447
2005,4447
2006,4447
2007,4447
2008,4447
2009,4447
2010,4447
2011,4447
2012,4447
2013,4447
2014,4447
2015,4447
2016,4447
2017,4447
2018,4447
2019,4447
2020,4447
2021,4447
1996,4457
1997,4457
1998,4457
1999,4457
2000,4457
2001,4457
2002,4457
2003,4457
2004,4457
2005,4457
2006,4457
2007,4457
2008,4457
2009,4457
2010,4457
2011,4457
2012,4457
2013,4457
2014,4457
2015,4457
2016,4457
2017,4457
2018,4457
2019,4457
2020,4457
2021,4457
2009,14272
2010,14272
2011,14272
2012,14272
2013,14272
2014,14272
2015,14272
2016,14272
2017,14272
2018,14272
2019,14272
2020,14272
2021,14272
2022,14272
2023,14272
2009,19520
2013,34956
2014,34956
2015,34956
2016,34956
2017,34956
2009,57055
2009,59478
2010,59478
2011,59478
2012,59478
2013,59478
2014,59478
2015,59478
2016,59478
2017,59478
2018,59478
2019,59478
2020,59478
2021,59478
2022,59478
2023,59478
2009,70793
2011,70793
2012,70793
2013,70793
2014,70793
2015,70793
2013,72170
2014,72170
2018,72444
2009,78003
2010,78003
2011,78003
2012,78003
2013,78003
2014,78003
2015,78003
2016,78003
2017,78003
2018,78003
2019,78003
2020,78003
2021,78003
2022,78003
2023,78003
2013,109657
2014,109657
2015,109657
2016,109657
2017,109657
2020,109657
2021,109657
2022,109657
2023,109657
2009,200406
2010,200406
2011,200406
2012,200406
2013,200406
2014,200406
2015,200406
2016,200406
2017,200406
2018,200406
2019,200406
2020,200406
2021,200406
2022,200406
2023,200406
2009,310158
2010,310158
2011,310158
2012,310158
2013,310158
2014,310158
2015,310158
2016,310158
2017,310158
2018,310158
2019,310158
2020,310158
2021,310158
2022,310158
2023,310158
2013,315545
2014,315545
2015,315545
2016,315545
2017,315545
2022,315545
2023,315545
2009,318154
2010,318154
2011,318154
2012,318154
2013,318154
2014,318154
2015,318154
2016,318154
2017,318154
2018,318154
2019,318154
2020,318154
2021,318154
2022,318154
2023,318154
2009,318306
2010,318306
2011,318306
2012,318306
2013,318306
2014,318306
2015,318306
2022,318306
2023,318306
2010,320017
2011,320017
2012,320017
2013,320017
2014,320017
2014,352998
2015,352998
2016,352998
2017,352998
2019,352998
2020,352998
2013,353278
2014,353278
2015,353278
2016,353278
2017,353278
2018,353278
2019,353278
2020,353278
2021,353278
2022,353278
2023,353278
2009,356591
2010,357097
2011,357097
2012,357097
2013,357097
2014,357097
2015,357097
2016,357097
2017,357097
2018,357097
2009,704384
2010,704384
2011,704384
2012,704384
2013,707511
2014,707511
2015,707511
2016,707511
2017,707511
2018,707511
2010,708717
2011,708717
2012,708717
2020,711377
2021,711377
2022,711377
2023,711377
2013,715446
2014,715446
2015,715446
2012,722104
2009,725363
2010,725363
2011,725363
2012,725363
2013,725363
2014,725363
2015,725363
2016,725363
2017,725363
2018,725363
2019,725363
2020,725363
2021,725363
2022,725363
2023,725363
2012,728387
2013,728387
2014,728387
2015,728387
2016,728387
2017,728387
2009,732485
2010,732485
2016,737207
2021,737207
2022,737207
2013,741114
2014,741114
2022,748592
2023,748592
2013,749647
2014,749647
2015,749647
2013,771856
2014,771856
2009,772320
2010,772320
2011,772320
2013,776008
2014,776008
2015,776008
2009,777516
2009,787253
2010,787253
2011,787253
2012,787253
2013,787253
2014,787253
2015,787253
2016,787253
2021,787253
2022,787253
2023,787253
2009,791908
2013,791908
2014,791908
2015,791908
2016,791908
2014,792977
2015,792977
2016,792977
2009,793043
2010,793043
2023,793171
2009,798985
2010,798985
2009,799698
2013,799698
2014,799698
2015,799698
2016,799698
2017,799698
2018,799698
2009,805326
2010,805326
2011,805326
2012,805326
2013,805326
2014,805326
2015,805326
2016,805326
2010,811779
2011,811779
2012,811779
2013,811779
2014,811779
2013,812796
2014,812796
2015,812796
2016,812796
2009,816284
2010,816284
2011,816284
2012,816284
2013,816284
2014,816284
2015,816284
2016,816284
2017,816284
2018,816284
2017,818686
2018,818686
2019,818686
2020,818686
2021,818686
2022,818686
2023,818686
2019,819050
2013,821995
2014,821995
2019,822370
2020,822370
2021,822370
2022,822370
2023,822370
2009,827809
2016,827871
2021,827871
2022,827871
2009,831547
2013,831547
2014,831547
2015,831547
2016,831547
2017,831547
2009,831749
2010,831749
2021,836937
2022,836937
2020,842023
2021,842023
2022,842023
